X	Sample_53	Sample_54	Sample_55	Sample_56	Sample_57	Sample_58	Sample_59	Sample_60	Sample_61	Sample_62	Sample_63	Sample_64	Sample_65	Sample_66	Sample_67	Sample_68	Sample_69	Sample_70	Sample_71	Sample_72	Sample_73	Sample_74	Sample_75	Sample_76	Sample_77	Sample_78
A0A3Q2H6U6	3.77213	31.2474	NA	NA	NA	1.721099	NA	NA	38.2999	4.8941	15.2574	5.65494	2.06845	NA	2.95395	NA	NA	2.83914	NA	NA	NA	NA	5.95858	2.31255	59.1068	NA
Q28383	65.7741	NA	NA	285.058	161.668	39.9414	NA	80.4305	19.4254	NA	NA	NA	NA	27.9598	NA	30.597	28.6834	11.6411	8.30961	30.7823	148.055	55.9389	NA	NA	21.1218	NA
A0A3Q2H8S7	510.643	292.368	275.137	123.435	179.343	674.82	312.617	314.555	182.897	216.442	196.756	156.863	422.929	409.896	506.335	447.908	541.458	333.745	149.08	430.615	203.726	247.683	584.458	449.792	450.417	238.939
A0A3Q2H908	33548.2	14447	30829	15598.4	8499.01	69683	18996.6	39733.2	18376.2	22709.6	22486.7	15963.4	16358.2	22098.3	18796.3	26198.2	19287.3	38766.3	21685.5	18307.3	5479.16	10868.7	51457.2	26819.2	47769.4	16573.8
A0A3Q2HAN3	103.101	48.1104	139.066	112.764	78.0764	108.271	292.484	115.655	217.181	169.66	53.7235	61.6583	84.2354	69.3286	158.501	52.9357	45.6587	86.1465	68.4912	44.0212	257.641	21.8564	35.5877	65.02	44.9952	165.696
A0A3Q2HC10	1937.18	1122.23	2277.12	804.011	544.697	6208.23	2078.9	3558.66	811.782	1731.16	1516.55	951.415	1844.67	2302.25	2291.28	2765.88	1886.74	3452.5	825.89	2340.24	260.897	978.296	4273.96	2997.33	5910.04	953.326
A0A3Q2HCW6	92.6837	80.8538	229.263	46.7388	71.244	77.3093	70.8317	95.0007	81.3439	143.874	204.598	94.6736	20.278	48.8918	58.1246	35.1754	25.0964	64.6753	58.5354	53.6625	156.178	39.2871	29.0405	42.5178	108.904	23.2869
A0A3Q2HE26	58.0297	427.193	321.669	34.9385	305.834	175.603	1020.66	94.7828	243.497	32.4865	NA	NA	18.7734	160.346	247.503	13.2846	22.9484	152.095	213.028	25.3774	14.799	16.8725	23.7763	72.8897	29.1841	244.733
A0A3Q2HI93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.66186	5.09014	NA	NA	NA
A0A3Q2HID2	76.9927	177.603	162.132	59.2056	47.4114	171.194	120.069	84.5099	47.6401	106.859	139.875	117.316	55.2206	129.566	74.2874	146.239	102.689	147.038	123.337	164.703	60.4967	120.966	72.3602	190.121	149.814	42.4573
A0A3Q2HIE9	9.54675	50.5194	NA	13.1713	124.365	NA	NA	NA	NA	40.2091	138.116	480.651	13.2457	18.6365	16.1344	6.86922	NA	34.3183	20.6832	13.266	49.2703	NA	3.51496	11.1123	NA	29.6754
A0A3Q2HJD6	10732.1	5571.36	8327.8	3358.03	8574.23	4835.69	10193	8152.12	6227.47	4387.25	6833.96	5327.06	8332.51	5255.38	13781.8	5403.06	6880.69	7450.66	3554.01	3791.33	9204.35	5821.74	6324.78	7254.41	7109.66	13089
